Colour,Cosmo_Floss_#,R,G,B,RGB_Hex,CC_Column,CC_Row,CC_Index
#B2ADA3,2151,178,173,163,#B2ADA3,12,31,12.031
#93918A,152A,147,145,138,#93918A,12,32,12.032
#7A7A78,153A,122,122,120,#7A7A78,12,33,12.033
#696767,154,105,103,103,#696767,12,34,12.034
#545358,2154,84,83,88,#545358,12,35,12.035
#45454B,155,69,69,75,#45454B,12,36,12.036
#323133,156,50,49,51,#323133,12,37,12.037
#2E2A31,601,46,42,49,#2E2A31,12,38,12.038
#101113,600,16,17,19,#101113,12,39,12.039
#F5F5F5,2500,245,245,245,#F5F5F5,12,40,12.04
#F7F7F7,500,247,247,247,#F7F7F7,12,41,12.041
#F4F4F4,100,244,244,244,#F4F4F4,12,42,12.042
#FCFCF2,110,252,252,242,#FCFCF2,12,43,12.043
#E7D6B6,1000,231,214,182,#E7D6B6,12,44,12.044
#474639,2041,71,70,57,#474639,12,45,12.045
